_id,SUBSCRIPTION_DATE,SUBSCRIPTION_COUNTY,SUBSCRIBER_DOMESTIC_FOREIGN,LONGITUDE,LATITUDE,NUMBER_OF_SUBSCRIBER
13860,2019-06-22,KAĞITHANE,Yerli,28.573054,41.035648,1
13861,2018-12-03,FATİH,Yerli,28.972482,41.007712,1
13862,2019-07-10,EYÜP SULTAN,Yerli,28.921595,41.080995,2
13863,2019-01-03,SANCAKTEPE,Yerli,29.245335,41.015681,2
13864,2019-01-13,BEYOĞLU,Yerli,28.94027,41.04725,1
13865,2018-07-27,EYÜP SULTAN,Yabancı,28.948922,41.082908,1
13866,2019-04-29,MALTEPE,Yerli,29.121198,40.924531,8
13867,2018-12-26,EYÜP SULTAN,Yabancı,28.933511,41.047359,3
13868,2019-09-06,ESENLER,Yerli,28.873136,41.053895,1
13869,2019-03-16,SANCAKTEPE,Yerli,29.231847,40.978859,1
13870,2019-08-28,ATAŞEHİR,Yerli,29.147233,40.977902,1
13871,2017-12-31,EYÜP SULTAN,Yabancı,28.933511,41.047359,4
13872,2020-02-25,KÜÇÜKÇEKMECE,Yerli,28.796872,41.044715,2
13873,2018-08-22,BEYOĞLU,Yerli,28.94027,41.04725,1
13874,2018-05-16,SANCAKTEPE,Yerli,29.245335,41.015681,2
13875,2018-09-18,BAKIRKÖY,Yabancı,28.820556,40.978551,8
13876,2019-09-20,MALTEPE,Yerli,29.121198,40.924531,7
13877,2019-04-01,ZEYTİNBURNU,Yerli,28.928849,40.995733,1
13878,2019-03-09,BAKIRKÖY,Yerli,28.863824,40.986566,1
13879,2019-01-04,KARTAL,Yerli,29.18905,40.90657,1
13880,2019-01-15,EYÜP SULTAN,Yerli,28.948922,41.082908,1
13881,2018-12-19,KARTAL,Yerli,29.187151,40.888024,1
13882,2019-04-02,KARTAL,Yerli,29.161455,40.905838,4
13883,2019-01-26,ÜMRANİYE,Yerli,29.105734,41.017041,10
13884,2019-06-28,SANCAKTEPE,Yerli,29.245335,41.015681,4
13885,2018-07-18,SULTANGAZİ,Yerli,28.88001,41.10769,1
13886,2020-01-23,FATİH,Yerli,28.972482,41.007712,1
13887,2020-02-18,ŞİŞLİ,Yerli,28.981998,41.068341,1
13888,2018-12-28,AVCILAR,Yerli,28.705535,40.995034,1
13889,2019-07-04,SANCAKTEPE,Bilinmiyor,29.245335,41.015681,1
13890,2018-06-29,MALTEPE,Yerli,29.121198,40.924531,30
13891,2020-09-21,ŞİŞLİ,Yerli,28.981998,41.068341,1
13892,2019-10-04,KÜÇÜKÇEKMECE,Yerli,28.796872,41.044715,2
13893,2019-01-10,ÜMRANİYE,Yerli,29.105734,41.017041,1
13894,2019-01-15,İSTANBUL,Yerli,28.58272,41.01418,26
13895,2018-03-11,BEYOĞLU,Yabancı,28.989684,41.031331,3
13896,2018-08-13,BAKIRKÖY,Yerli,28.884828,40.999602,1
13897,2019-03-16,SANCAKTEPE,Yerli,29.233057,40.978484,5
13898,2020-01-26,MALTEPE,Yerli,29.121198,40.924531,14
13899,2018-11-04,İSTANBUL,Yerli,28.58272,41.01418,28
13900,2017-11-03,BEYOĞLU,Yabancı,28.989684,41.031331,3
13901,2018-09-04,ÜMRANİYE,Yerli,29.105734,41.017041,2
13902,2019-11-08,ATAŞEHİR,Yerli,29.147233,40.977902,1
13903,2018-05-14,BEŞİKTAŞ,Yerli,29.011161,41.085842,1
13904,2019-04-22,SARIYER,Yabancı,29.052015,41.106615,2
13905,2019-09-08,MALTEPE,Yabancı,29.121198,40.924531,2
13906,2019-07-31,SARIYER,Yerli,29.051827,41.124858,1
13907,2018-10-08,BAKIRKÖY,Yerli,28.884828,40.999602,4
13908,2019-11-29,KAĞITHANE,Yerli,28.922037,41.004253,1
13909,2019-01-13,AVCILAR,Yerli,28.705535,40.995034,3
13910,2019-08-11,EYÜP SULTAN,Yerli,28.921595,41.080995,1
13911,2018-11-08,İSTANBUL,Yabancı,28.58272,41.01418,4
13912,2018-07-28,BAKIRKÖY,Yerli,28.884828,40.999602,1
13913,2020-03-11,KARTAL,Yerli,29.161455,40.905838,1
13914,2018-09-22,KARTAL,Yerli,29.187151,40.888024,5
13915,2019-07-17,ŞİŞLİ,Yerli,29.011473,41.080041,4
13916,2019-03-17,KARTAL,Yerli,29.161455,40.905838,1
13917,2019-10-03,KARTAL,Yerli,29.189967,40.892454,4
13918,2018-06-05,EYÜP SULTAN,Yerli,28.933511,41.047359,23
13919,2018-08-14,BEŞİKTAŞ,Yabancı,29.00736,41.041218,1
13920,2019-12-30,BAKIRKÖY,Yerli,28.884828,40.999602,1
13921,2019-04-19,KÜÇÜKÇEKMECE,Yerli,28.80303,41.030465,1
13922,2019-09-26,KÜÇÜKÇEKMECE,Yerli,28.80303,41.030465,1
